,variable,column,year,sample,population
940,Norway,BPL,1920,1920 1%,1374.74
941,South Dakota,BPL,1920,1920 1%,2560.5
942,Alabama,BPL,1920,1920 1%,1831.3199999999997
943,France,BPL,1920,1920 1%,1341.53
944,Nevada,BPL,1920,1920 1%,445.2
945,Michigan,BPL,1920,1920 1%,9545.869999999995
946,Austria,BPL,1920,1920 1%,5904.200000000003
947,Wales,BPL,1920,1920 1%,1260.8099999999997
948,Wyoming,BPL,1920,1920 1%,3524.229999999999
949,North Dakota,BPL,1920,1920 1%,679.65
950,Greece,BPL,1920,1920 1%,767.5599999999998
951,New Jersey,BPL,1920,1920 1%,2460.9200000000005
952,Netherlands,BPL,1920,1920 1%,780.1800000000001
953,South Carolina,BPL,1920,1920 1%,306.32
954,Connecticut,BPL,1920,1920 1%,1265.49
955,Belgium,BPL,1920,1920 1%,389.94
956,Rhode Island,BPL,1920,1920 1%,608.84
957,Portugal,BPL,1920,1920 1%,99.91
958,China,BPL,1920,1920 1%,304.41999999999996
959,Turkey,BPL,1920,1920 1%,99.91
960,Hungary,BPL,1920,1920 1%,495.05000000000007
961,Romania,BPL,1920,1920 1%,99.91
962,Arizona,BPL,1920,1920 1%,1095.66
963,Syria,BPL,1920,1920 1%,811.6600000000001
964,Yugoslavia,BPL,1920,1920 1%,913.7400000000001
965,Lebanon,BPL,1920,1920 1%,209.2
966,AFRICA,BPL,1920,1920 1%,94.78
967,Bulgaria,BPL,1920,1920 1%,2086.5600000000004
968,Australia and New Zealand,BPL,1920,1920 1%,90.72
969,Latvia,BPL,1920,1920 1%,90.72
970,Iowa,BPL,1930,1930 1%,48758.84999999971
971,Missouri,BPL,1930,1930 1%,65011.79999999924
972,Oklahoma,BPL,1930,1930 1%,15546.300000000043
973,Colorado,BPL,1930,1930 1%,429340.3500000317
974,Washington,BPL,1930,1930 1%,1716.1500000000005
975,New Mexico,BPL,1930,1930 1%,27458.40000000013
976,Sweden,BPL,1930,1930 1%,9590.25
977,Japan,BPL,1930,1930 1%,1312.3500000000004
978,New York,BPL,1930,1930 1%,12315.90000000002
979,Other USSR/Russia,BPL,1930,1930 1%,13628.25000000003
980,Wyoming,BPL,1930,1930 1%,7874.09999999999
981,Nebraska,BPL,1930,1930 1%,46033.199999999786
982,Ohio,BPL,1930,1930 1%,20089.050000000076
983,Nevada,BPL,1930,1930 1%,201.9
984,Maine,BPL,1930,1930 1%,908.5500000000002
985,Ireland,BPL,1930,1930 1%,3432.2999999999984
986,Kansas,BPL,1930,1930 1%,61478.54999999934
987,Indiana,BPL,1930,1930 1%,21300.450000000084
988,Michigan,BPL,1930,1930 1%,9085.499999999996
989,Italy,BPL,1930,1930 1%,9893.100000000002
990,Pennsylvania,BPL,1930,1930 1%,16252.950000000048
991,Illinois,BPL,1930,1930 1%,51484.49999999963
992,Austria,BPL,1930,1930 1%,3028.499999999999
993,Yugoslavia,BPL,1930,1930 1%,3230.3999999999987
994,South Carolina,BPL,1930,1930 1%,302.85
995,Florida,BPL,1930,1930 1%,100.95
996,Greece,BPL,1930,1930 1%,1413.3000000000004
997,Wales,BPL,1930,1930 1%,1312.3500000000004
998,North Carolina,BPL,1930,1930 1%,1716.1500000000005
999,Oregon,BPL,1930,1930 1%,1615.2000000000005
1000,Wisconsin,BPL,1930,1930 1%,8681.699999999993
1001,Maryland,BPL,1930,1930 1%,1211.4000000000003
1002,Arkansas,BPL,1930,1930 1%,9792.150000000001
1003,Canada,BPL,1930,1930 1%,5653.199999999994
1004,West Virginia,BPL,1930,1930 1%,2826.5999999999995
1005,Texas,BPL,1930,1930 1%,17868.15000000006
1006,Arizona,BPL,1930,1930 1%,1110.4500000000003
1007,England,BPL,1930,1930 1%,6864.599999999992
1008,Tennessee,BPL,1930,1930 1%,8378.849999999991
1009,Kentucky,BPL,1930,1930 1%,10902.60000000001
1010,"United States, ns",BPL,1930,1930 1%,2119.9500000000007
1011,Germany,BPL,1930,1930 1%,9388.349999999999
1012,Alabama,BPL,1930,1930 1%,3129.449999999999
1013,Mississippi,BPL,1930,1930 1%,1615.2000000000005
1014,Virginia,BPL,1930,1930 1%,3230.3999999999987
1015,Georgia,BPL,1930,1930 1%,1918.0500000000006
1016,Idaho,BPL,1930,1930 1%,807.6000000000001
1017,Czechoslovakia,BPL,1930,1930 1%,1413.3000000000004
1018,Minnesota,BPL,1930,1930 1%,6763.649999999992
1019,North Dakota,BPL,1930,1930 1%,1413.3000000000004
1020,South Dakota,BPL,1930,1930 1%,4845.599999999996
1021,Louisiana,BPL,1930,1930 1%,1211.4000000000003
1022,Massachusetts,BPL,1930,1930 1%,3331.3499999999985
1023,Scotland,BPL,1930,1930 1%,2624.7
1024,Denmark,BPL,1930,1930 1%,2523.75
1025,Vermont,BPL,1930,1930 1%,807.6000000000001
1026,Connecticut,BPL,1930,1930 1%,1110.4500000000003
1027,Poland,BPL,1930,1930 1%,2119.9500000000007
1028,Lithuania,BPL,1930,1930 1%,201.9
1029,Montana,BPL,1930,1930 1%,2826.5999999999995
1030,Mexico,BPL,1930,1930 1%,16959.600000000053
1031,Utah,BPL,1930,1930 1%,3735.149999999998
1032,Norway,BPL,1930,1930 1%,807.6000000000001
1033,France,BPL,1930,1930 1%,807.6000000000001
1034,Hungary,BPL,1930,1930 1%,201.9
1035,India,BPL,1930,1930 1%,100.95
1036,California,BPL,1930,1930 1%,5653.199999999994
1037,District of Columbia,BPL,1930,1930 1%,302.85
1038,Romania,BPL,1930,1930 1%,504.75
1039,Abroad (unknown) or at sea,BPL,1930,1930 1%,1413.3000000000004
1040,Philippines,BPL,1930,1930 1%,302.85
1041,Switzerland,BPL,1930,1930 1%,1009.5000000000002
1042,Netherlands,BPL,1930,1930 1%,1009.5000000000002
1043,Delaware,BPL,1930,1930 1%,100.95
1044,SOUTH AMERICA,BPL,1930,1930 1%,605.7
1045,New Hampshire,BPL,1930,1930 1%,201.9
1046,"Europe, ns",BPL,1930,1930 1%,100.95
1047,New Jersey,BPL,1930,1930 1%,1211.4000000000003
1048,Rhode Island,BPL,1930,1930 1%,403.8
1049,Spain,BPL,1930,1930 1%,100.95
1050,Finland,BPL,1930,1930 1%,504.75
1051,Native American,BPL,1930,1930 1%,100.95
1052,Australia and New Zealand,BPL,1930,1930 1%,100.95
1053,China,BPL,1930,1930 1%,1211.4000000000003
1054,Bulgaria,BPL,1930,1930 1%,201.9
1055,Cuba,BPL,1930,1930 1%,100.95
1056,Belgium,BPL,1930,1930 1%,302.85
1057,Israel/Palestine,BPL,1930,1930 1%,100.95
1058,Turkey,BPL,1930,1930 1%,100.95
1059,Iowa,BPL,1930,1930 5%,45537.92999999962
1060,Missouri,BPL,1930,1930 5%,63825.51999999989
1061,Oklahoma,BPL,1930,1930 5%,17656.259999999955
1062,Colorado,BPL,1930,1930 5%,423581.399999892
1063,South Dakota,BPL,1930,1930 5%,3825.1999999999953
1064,Kansas,BPL,1930,1930 5%,60959.070000000225
1065,Mississippi,BPL,1930,1930 5%,1744.400000000001
1066,Pennsylvania,BPL,1930,1930 5%,17066.76999999995
1067,Ohio,BPL,1930,1930 5%,19547.589999999924
1068,New York,BPL,1930,1930 5%,14002.040000000005
1069,Nebraska,BPL,1930,1930 5%,46947.559999999605
1070,Illinois,BPL,1930,1930 5%,47411.76000000005
1071,Washington,BPL,1930,1930 5%,1495.0500000000002
1072,Michigan,BPL,1930,1930 5%,8876.740000000009
1073,Maine,BPL,1930,1930 5%,1003.6099999999998
1074,New Mexico,BPL,1930,1930 5%,26128.519999999775
1075,Other USSR/Russia,BPL,1930,1930 5%,12749.200000000033
1076,Kentucky,BPL,1930,1930 5%,10505.070000000003
1077,Sweden,BPL,1930,1930 5%,8506.750000000016
1078,Austria,BPL,1930,1930 5%,2918.7499999999973
1079,Germany,BPL,1930,1930 5%,9197.37
1080,Japan,BPL,1930,1930 5%,1307.130000000001
1081,Hungary,BPL,1930,1930 5%,524.5900000000003
1082,Wyoming,BPL,1930,1930 5%,6962.809999999995
1083,Italy,BPL,1930,1930 5%,10550.77999999995
1084,Mexico,BPL,1930,1930 5%,14713.689999999982
1085,Estonia,BPL,1930,1930 5%,39.5
1086,Canada,BPL,1930,1930 5%,6120.090000000002
1087,Yugoslavia,BPL,1930,1930 5%,3231.9400000000014
1088,Indiana,BPL,1930,1930 5%,19062.079999999954
1089,Arizona,BPL,1930,1930 5%,1207.8500000000006
1090,Scotland,BPL,1930,1930 5%,2963.5099999999966
1091,Montana,BPL,1930,1930 5%,2497.589999999997
1092,Nevada,BPL,1930,1930 5%,340.3300000000001
1093,North Dakota,BPL,1930,1930 5%,1610.570000000001
1094,New Jersey,BPL,1930,1930 5%,1766.829999999999
1095,Texas,BPL,1930,1930 5%,17791.62999999992
1096,Ireland,BPL,1930,1930 5%,3187.9399999999932
1097,Oregon,BPL,1930,1930 5%,1543.58
1098,Wisconsin,BPL,1930,1930 5%,10260.390000000014
1099,Maryland,BPL,1930,1930 5%,1507.0999999999988
1100,Czechoslovakia,BPL,1930,1930 5%,1446.5400000000013
1101,California,BPL,1930,1930 5%,4817.729999999998
1102,Tennessee,BPL,1930,1930 5%,7639.559999999982
1103,Vermont,BPL,1930,1930 5%,989.9600000000004
1104,Connecticut,BPL,1930,1930 5%,1285.5599999999997
1105,Poland,BPL,1930,1930 5%,2411.8299999999963
1106,Bulgaria,BPL,1930,1930 5%,366.95000000000016
1107,South Carolina,BPL,1930,1930 5%,521.5500000000001
1108,Florida,BPL,1930,1930 5%,658.6800000000001
1109,England,BPL,1930,1930 5%,7064.869999999996
1110,Idaho,BPL,1930,1930 5%,1758.29
1111,Minnesota,BPL,1930,1930 5%,6855.510000000003
1112,Switzerland,BPL,1930,1930 5%,1200.52
1113,Arkansas,BPL,1930,1930 5%,8087.189999999979
1114,Virginia,BPL,1930,1930 5%,3847.169999999994
1115,Louisiana,BPL,1930,1930 5%,1749.3899999999999
1116,New Hampshire,BPL,1930,1930 5%,460.0
1117,North Carolina,BPL,1930,1930 5%,1999.460000000001
1118,Alabama,BPL,1930,1930 5%,2723.309999999997
1119,Greece,BPL,1930,1930 5%,1518.3900000000015
1120,Wales,BPL,1930,1930 5%,1186.6400000000003
1121,Finland,BPL,1930,1930 5%,520.37
1122,West Virginia,BPL,1930,1930 5%,3146.569999999997
1123,District of Columbia,BPL,1930,1930 5%,339.33000000000004
1124,Utah,BPL,1930,1930 5%,4109.449999999991
1125,"United States, ns",BPL,1930,1930 5%,2027.5499999999995
1126,Georgia,BPL,1930,1930 5%,2142.2499999999986
1127,Norway,BPL,1930,1930 5%,1322.4100000000003
1128,Abroad (unknown) or at sea,BPL,1930,1930 5%,1070.2
1129,Belgium,BPL,1930,1930 5%,283.11
1130,Hawaii,BPL,1930,1930 5%,99.11
1131,Massachusetts,BPL,1930,1930 5%,3489.8800000000006
1132,Denmark,BPL,1930,1930 5%,2674.159999999998
1133,Netherlands,BPL,1930,1930 5%,861.8699999999999
1134,Lithuania,BPL,1930,1930 5%,183.22000000000003
1135,Rhode Island,BPL,1930,1930 5%,301.16
1136,France,BPL,1930,1930 5%,902.75
1137,Delaware,BPL,1930,1930 5%,259.15
1138,Australia and New Zealand,BPL,1930,1930 5%,179.88
1139,India,BPL,1930,1930 5%,19.33
1140,AFRICA,BPL,1930,1930 5%,59.92
1141,Alaska,BPL,1930,1930 5%,62.82000000000001
1142,Spain,BPL,1930,1930 5%,100.20999999999998
1143,Korea,BPL,1930,1930 5%,39.98
1144,Latvia,BPL,1930,1930 5%,119.58
1145,Romania,BPL,1930,1930 5%,401.0000000000001
1146,Native American,BPL,1930,1930 5%,40.1
1147,Philippines,BPL,1930,1930 5%,180.82
1148,Cuba,BPL,1930,1930 5%,101.42
1149,SOUTH AMERICA,BPL,1930,1930 5%,261.76000000000005
1150,"Europe, ns",BPL,1930,1930 5%,40.53
1151,Turkey,BPL,1930,1930 5%,80.08
1152,Central America,BPL,1930,1930 5%,20.05
1153,China,BPL,1930,1930 5%,300.8199999999999
1154,Syria,BPL,1930,1930 5%,61.67
1155,"Persian Gulf States, n.s.",BPL,1930,1930 5%,18.83
1156,"Central Europe, ns",BPL,1930,1930 5%,39.82
1157,Luxembourg,BPL,1930,1930 5%,40.55
1158,Israel/Palestine,BPL,1930,1930 5%,20.48
1159,Puerto Rico,BPL,1930,1930 5%,20.48
1160,Mississippi,BPL,1940,1940 1%,2400.0
1161,Colorado,BPL,1940,1940 1%,488517.0
1162,Minnesota,BPL,1940,1940 1%,7365.0
1163,Texas,BPL,1940,1940 1%,18737.0
1164,Poland,BPL,1940,1940 1%,2833.0
1165,Kansas,BPL,1940,1940 1%,79978.0
1166,Iowa,BPL,1940,1940 1%,36732.0
1167,South Dakota,BPL,1940,1940 1%,5676.0
1168,Wyoming,BPL,1940,1940 1%,5251.0
1169,Nebraska,BPL,1940,1940 1%,52321.0
1170,Germany,BPL,1940,1940 1%,6858.0
1171,Canada,BPL,1940,1940 1%,4544.0
1172,Illinois,BPL,1940,1940 1%,38421.0
1173,Oklahoma,BPL,1940,1940 1%,26006.0
1174,Italy,BPL,1940,1940 1%,8485.0
1175,Missouri,BPL,1940,1940 1%,58951.0
1176,Pennsylvania,BPL,1940,1940 1%,11900.0
1177,New Hampshire,BPL,1940,1940 1%,900.0
1178,New Jersey,BPL,1940,1940 1%,2065.0
1179,Netherlands,BPL,1940,1940 1%,1000.0
1180,California,BPL,1940,1940 1%,5762.0
1181,Denmark,BPL,1940,1940 1%,3887.0
1182,New York,BPL,1940,1940 1%,10832.0
1183,Indiana,BPL,1940,1940 1%,17334.0
1184,Maine,BPL,1940,1940 1%,1400.0
1185,Sweden,BPL,1940,1940 1%,5188.0
1186,Kentucky,BPL,1940,1940 1%,10439.0
1187,Alabama,BPL,1940,1940 1%,2400.0
1188,Ohio,BPL,1940,1940 1%,14983.0
1189,Other USSR/Russia,BPL,1940,1940 1%,11636.0
1190,Arizona,BPL,1940,1940 1%,1054.0
1191,Arkansas,BPL,1940,1940 1%,11163.0
1192,New Mexico,BPL,1940,1940 1%,27368.0
1193,West Virginia,BPL,1940,1940 1%,2152.0
1194,Florida,BPL,1940,1940 1%,900.0
1195,North Carolina,BPL,1940,1940 1%,2170.0
1196,Michigan,BPL,1940,1940 1%,6143.0
1197,Georgia,BPL,1940,1940 1%,1800.0
1198,Mexico,BPL,1940,1940 1%,6927.0
1199,Idaho,BPL,1940,1940 1%,1800.0
1200,Norway,BPL,1940,1940 1%,1000.0
1201,Austria,BPL,1940,1940 1%,2552.0
1202,Oregon,BPL,1940,1940 1%,1400.0
1203,Yugoslavia,BPL,1940,1940 1%,2300.0
1204,Utah,BPL,1940,1940 1%,4776.0
1205,Massachusetts,BPL,1940,1940 1%,2564.0
1206,Maryland,BPL,1940,1940 1%,1200.0
1207,Missing/blank,BPL,1940,1940 1%,200.0
1208,Wisconsin,BPL,1940,1940 1%,6842.0
1209,Montana,BPL,1940,1940 1%,2130.0
1210,Tennessee,BPL,1940,1940 1%,4400.0
1211,North Dakota,BPL,1940,1940 1%,2727.0
1212,Czechoslovakia,BPL,1940,1940 1%,1256.0
1213,Ireland,BPL,1940,1940 1%,2250.0
1214,Louisiana,BPL,1940,1940 1%,2183.0
1215,Connecticut,BPL,1940,1940 1%,600.0
1216,Rhode Island,BPL,1940,1940 1%,500.0
1217,Hawaii,BPL,1940,1940 1%,300.0
1218,Virginia,BPL,1940,1940 1%,2400.0
1219,France,BPL,1940,1940 1%,858.0
1220,Switzerland,BPL,1940,1940 1%,588.0
1221,England,BPL,1940,1940 1%,5134.0
1222,Japan,BPL,1940,1940 1%,1316.0
1223,Washington,BPL,1940,1940 1%,1934.0
1224,Scotland,BPL,1940,1940 1%,2677.0
1225,Korea,BPL,1940,1940 1%,100.0
1226,Greece,BPL,1940,1940 1%,864.0
1227,Vermont,BPL,1940,1940 1%,600.0
1228,Wales,BPL,1940,1940 1%,400.0
1229,Abroad (unknown) or at sea,BPL,1940,1940 1%,300.0
1230,Belgium,BPL,1940,1940 1%,400.0
1231,Hungary,BPL,1940,1940 1%,987.0
1232,District of Columbia,BPL,1940,1940 1%,300.0
1233,Lithuania,BPL,1940,1940 1%,100.0
1234,South Carolina,BPL,1940,1940 1%,600.0
1235,"United States, ns",BPL,1940,1940 1%,487.0
1236,SOUTH AMERICA,BPL,1940,1940 1%,187.0
1237,Australia and New Zealand,BPL,1940,1940 1%,100.0
1238,AFRICA,BPL,1940,1940 1%,100.0
1239,Nevada,BPL,1940,1940 1%,400.0
1240,Finland,BPL,1940,1940 1%,300.0
1241,India,BPL,1940,1940 1%,300.0
1242,Delaware,BPL,1940,1940 1%,200.0
1243,Philippines,BPL,1940,1940 1%,100.0
1244,China,BPL,1940,1940 1%,100.0
1245,Turkey,BPL,1940,1940 1%,228.0
1246,Central America,BPL,1940,1940 1%,100.0
1247,Portugal,BPL,1940,1940 1%,100.0
1248,Romania,BPL,1940,1940 1%,100.0
1249,Missouri,BPLD,1870,1870 1%,1528.1399999999999
1250,New York,BPLD,1870,1870 1%,3188.3500000000004
1251,Indiana,BPLD,1870,1870 1%,877.2
1252,Pennsylvania,BPLD,1870,1870 1%,1021.0699999999999
1253,Wurttemberg,BPLD,1870,1870 1%,273.81
1254,Ireland,BPLD,1870,1870 1%,1940.3400000000001
1255,Illinois,BPLD,1870,1870 1%,1513.02
1256,Massachusetts,BPLD,1870,1870 1%,1336.2099999999998
1257,Maine,BPLD,1870,1870 1%,474.11
1258,Bavaria,BPLD,1870,1870 1%,91.27
1259,Austria,BPLD,1870,1870 1%,91.27
1260,Colorado,BPLD,1870,1870 1%,5188.879999999998
1261,New Mexico,BPLD,1870,1870 1%,9337.989999999985
1262,Kansas,BPLD,1870,1870 1%,273.81
1263,England,BPLD,1870,1870 1%,2506.2999999999997
1264,Ohio,BPLD,1870,1870 1%,1809.1599999999994
1265,Nebraska,BPLD,1870,1870 1%,182.54
1266,New Jersey,BPLD,1870,1870 1%,382.84000000000003
1267,Maryland,BPLD,1870,1870 1%,91.27
1268,Connecticut,BPLD,1870,1870 1%,91.27
1269,Tennessee,BPLD,1870,1870 1%,91.27
1270,Virginia,BPLD,1870,1870 1%,1111.6999999999998
1271,Kentucky,BPLD,1870,1870 1%,951.39
1272,Wisconsin,BPLD,1870,1870 1%,431.04999999999995
1273,Louisiana,BPLD,1870,1870 1%,100.15
1274,Canada,BPLD,1870,1870 1%,422.16999999999996
1275,Hesse-Nassau,BPLD,1870,1870 1%,361.35
1276,Utah,BPLD,1870,1870 1%,522.4
1277,Iowa,BPLD,1870,1870 1%,1375.6200000000001
1278,Saxony,BPLD,1870,1870 1%,100.15
1279,"Prussia, nec",BPLD,1870,1870 1%,200.3
1280,Michigan,BPLD,1870,1870 1%,400.6
1281,Mexico,BPLD,1870,1870 1%,99.49
1282,Scotland,BPLD,1870,1870 1%,91.27
1283,North Carolina,BPLD,1870,1870 1%,130.6
1284,Texas,BPLD,1870,1870 1%,99.49
1285,Mississippi,BPLD,1870,1870 1%,99.49
1286,Other USSR/Russia,BPLD,1870,1870 1%,99.49
1287,New Hampshire,BPLD,1870,1870 1%,100.15
1288,Missouri,BPLD,1870,1870 1% sample with black oversample,1503.8499999999997
1289,New York,BPLD,1870,1870 1% sample with black oversample,3231.1499999999987
1290,Colorado,BPLD,1870,1870 1% sample with black oversample,5220.6399999999985
1291,Pennsylvania,BPLD,1870,1870 1% sample with black oversample,1037.5
1292,Delaware,BPLD,1870,1870 1% sample with black oversample,87.8
1293,Ohio,BPLD,1870,1870 1% sample with black oversample,1846.6999999999994
1294,Indiana,BPLD,1870,1870 1% sample with black oversample,856.38
1295,Wurttemberg,BPLD,1870,1870 1% sample with black oversample,263.4
1296,Ireland,BPLD,1870,1870 1% sample with black oversample,1945.5500000000002
1297,Illinois,BPLD,1870,1870 1% sample with black oversample,1489.31
1298,Massachusetts,BPLD,1870,1870 1% sample with black oversample,1355.8799999999999
1299,Maine,BPLD,1870,1870 1% sample with black oversample,471.2199999999999
1300,Bavaria,BPLD,1870,1870 1% sample with black oversample,87.8
1301,Austria,BPLD,1870,1870 1% sample with black oversample,87.8
1302,New Mexico,BPLD,1870,1870 1% sample with black oversample,9334.519999999986
1303,Kansas,BPLD,1870,1870 1% sample with black oversample,263.4
1304,England,BPLD,1870,1870 1% sample with black oversample,2516.7200000000003
1305,Nebraska,BPLD,1870,1870 1% sample with black oversample,175.6
1306,New Jersey,BPLD,1870,1870 1% sample with black oversample,383.41999999999996
1307,Maryland,BPLD,1870,1870 1% sample with black oversample,87.8
1308,Connecticut,BPLD,1870,1870 1% sample with black oversample,87.8
1309,Tennessee,BPLD,1870,1870 1% sample with black oversample,87.8
1310,Virginia,BPLD,1870,1870 1% sample with black oversample,1015.8999999999999
1311,Kentucky,BPLD,1870,1870 1% sample with black oversample,855.3
1312,Wisconsin,BPLD,1870,1870 1% sample with black oversample,442.3299999999999
1313,Louisiana,BPLD,1870,1870 1% sample with black oversample,51.96
1314,Canada,BPLD,1870,1870 1% sample with black oversample,426.22
1315,Hesse-Nassau,BPLD,1870,1870 1% sample with black oversample,365.11
1316,Utah,BPLD,1870,1870 1% sample with black oversample,522.4
1317,Iowa,BPLD,1870,1870 1% sample with black oversample,1390.95
1318,Saxony,BPLD,1870,1870 1% sample with black oversample,103.91
1319,"Prussia, nec",BPLD,1870,1870 1% sample with black oversample,207.82
1320,Michigan,BPLD,1870,1870 1% sample with black oversample,415.64
1321,Mexico,BPLD,1870,1870 1% sample with black oversample,99.49
1322,Scotland,BPLD,1870,1870 1% sample with black oversample,87.8
1323,North Carolina,BPLD,1870,1870 1% sample with black oversample,182.56
1324,Texas,BPLD,1870,1870 1% sample with black oversample,99.49
1325,Mississippi,BPLD,1870,1870 1% sample with black oversample,99.49
1326,Other USSR/Russia,BPLD,1870,1870 1% sample with black oversample,99.49
1327,New Hampshire,BPLD,1870,1870 1% sample with black oversample,103.91
1328,Canada,BPLD,1880,1880 1%,3627.65
1329,Ireland,BPLD,1880,1880 1%,8060.360000000001
1330,Illinois,BPLD,1880,1880 1%,12083.129999999976
1331,Georgia,BPLD,1880,1880 1%,900.58
1332,Ohio,BPLD,1880,1880 1%,13791.049999999983
1333,Virginia,BPLD,1880,1880 1%,2101.7999999999993
1334,Colorado,BPLD,1880,1880 1%,27739.350000000082
1335,Germany,BPLD,1880,1880 1%,3052.3899999999994
1336,Wisconsin,BPLD,1880,1880 1%,4038.5000000000005
1337,Minnesota,BPLD,1880,1880 1%,467.98
1338,Massachusetts,BPLD,1880,1880 1%,3753.690000000001
1339,Maine,BPLD,1880,1880 1%,3049.0699999999993
1340,Pennsylvania,BPLD,1880,1880 1%,12268.029999999986
1341,California,BPLD,1880,1880 1%,975.7899999999998
1342,Sweden,BPLD,1880,1880 1%,1128.5399999999997
1343,Delaware,BPLD,1880,1880 1%,154.57999999999998
1344,South Carolina,BPLD,1880,1880 1%,164.66
1345,Quebec,BPLD,1880,1880 1%,82.33
1346,Vermont,BPLD,1880,1880 1%,2306.8899999999994
1347,New Hampshire,BPLD,1880,1880 1%,803.99
1348,Missouri,BPLD,1880,1880 1%,14744.819999999972
1349,England,BPLD,1880,1880 1%,6692.810000000007
1350,Norway,BPLD,1880,1880 1%,183.89
1351,Iowa,BPLD,1880,1880 1%,7854.280000000002
1352,Baden,BPLD,1880,1880 1%,368.8
1353,Hessen,BPLD,1880,1880 1%,183.44
1354,Mecklenburg,BPLD,1880,1880 1%,82.33
1355,Saxony,BPLD,1880,1880 1%,82.33
1356,Bavaria,BPLD,1880,1880 1%,285.51
1357,New York,BPLD,1880,1880 1%,14044.77999999997
1358,Maryland,BPLD,1880,1880 1%,1190.3000000000002
1359,Montana,BPLD,1880,1880 1%,82.33
1360,Nebraska,BPLD,1880,1880 1%,1819.5899999999992
1361,Denmark,BPLD,1880,1880 1%,570.9000000000001
1362,Scotland,BPLD,1880,1880 1%,1413.5
1363,Indiana,BPLD,1880,1880 1%,5843.260000000004
1364,France,BPLD,1880,1880 1%,519.45
1365,"Africa, ns/nec",BPLD,1880,1880 1%,161.69
1366,New Jersey,BPLD,1880,1880 1%,864.5800000000002
1367,Arkansas,BPLD,1880,1880 1%,691.8699999999999
1368,Wyoming,BPLD,1880,1880 1%,82.33
1369,Kansas,BPLD,1880,1880 1%,3650.71
1370,District of Columbia,BPLD,1880,1880 1%,184.39999999999998
1371,Mexico,BPLD,1880,1880 1%,184.39999999999998
1372,Michigan,BPLD,1880,1880 1%,2726.96
1373,China,BPLD,1880,1880 1%,634.5699999999999
1374,Louisiana,BPLD,1880,1880 1%,386.56
1375,Hesse-Nassau,BPLD,1880,1880 1%,82.33
1376,Connecticut,BPLD,1880,1880 1%,154.57999999999998
1377,Kentucky,BPLD,1880,1880 1%,5338.85
1378,Tennessee,BPLD,1880,1880 1%,2554.41
1379,"United States, ns",BPLD,1880,1880 1%,161.69
1380,Poland,BPLD,1880,1880 1%,439.58000000000004
1381,"Prussia, nec",BPLD,1880,1880 1%,970.2399999999999
1382,Wurttemberg,BPLD,1880,1880 1%,346.09
1383,Alsace,BPLD,1880,1880 1%,82.33
1384,Luxembourg,BPLD,1880,1880 1%,82.33
1385,Australia,BPLD,1880,1880 1%,82.33
1386,Wales,BPLD,1880,1880 1%,1812.6199999999994
1387,Bermuda,BPLD,1880,1880 1%,101.11
1388,Nova Scotia,BPLD,1880,1880 1%,406.81
1389,New Zealand,BPLD,1880,1880 1%,404.44
1390,Italy,BPLD,1880,1880 1%,710.0200000000001
1391,Texas,BPLD,1880,1880 1%,811.64
1392,New Mexico,BPLD,1880,1880 1%,4042.590000000002
1393,Rhode Island,BPLD,1880,1880 1%,355.24
1394,Utah,BPLD,1880,1880 1%,72.25
1395,North Carolina,BPLD,1880,1880 1%,377.5
1396,Alabama,BPLD,1880,1880 1%,285.51
1397,Other USSR/Russia,BPLD,1880,1880 1%,79.36
1398,Prince Edward Island,BPLD,1880,1880 1%,202.22
1399,Switzerland,BPLD,1880,1880 1%,284.55
1400,Florida,BPLD,1880,1880 1%,101.11
1401,Spain,BPLD,1880,1880 1%,101.11
1402,New Mexico Territory,BPLD,1880,1880 1%,6022.129999999997
1403,West Virginia,BPLD,1880,1880 1%,183.44
1404,Mississippi,BPLD,1880,1880 1%,183.44
1405,Cuba,BPLD,1880,1880 1%,101.56
1406,Belgium,BPLD,1880,1880 1%,202.67000000000002
1407,Greece,BPLD,1880,1880 1%,101.56
1408,Dakota Territory,BPLD,1880,1880 1%,467.5
1409,Utah Territory,BPLD,1880,1880 1%,72.25
1410,Nevada,BPLD,1880,1880 1%,239.76
1411,Hanover,BPLD,1880,1880 1%,119.88
1412,New Brunswick,BPLD,1880,1880 1%,101.11
1413,Ireland,BPLD,1880,1880 10%,8339.550000000043
1414,Iowa,BPLD,1880,1880 10%,7120.320000000021
1415,Colorado,BPLD,1880,1880 10%,25987.97999999956
1416,Illinois,BPLD,1880,1880 10%,12896.990000000158
1417,New York,BPLD,1880,1880 10%,14993.990000000187
1418,Michigan,BPLD,1880,1880 10%,4083.6899999999855
1419,Pennsylvania,BPLD,1880,1880 10%,11645.680000000073
1420,Ohio,BPLD,1880,1880 10%,11988.510000000095
1421,Wisconsin,BPLD,1880,1880 10%,3227.379999999991
1422,Missouri,BPLD,1880,1880 10%,12889.590000000127
1423,New Hampshire,BPLD,1880,1880 10%,614.6999999999996
1424,Canada,BPLD,1880,1880 10%,3886.4099999999903
1425,Massachusetts,BPLD,1880,1880 10%,3714.1399999999926
1426,"Prussia, nec",BPLD,1880,1880 10%,2373.2699999999995
1427,Wurttemberg,BPLD,1880,1880 10%,215.89000000000004
1428,France,BPLD,1880,1880 10%,860.69
1429,Austria,BPLD,1880,1880 10%,508.16999999999973
